Date,Open,High,Low,Close,Adj Close,Volume
2007-01-30,17.59,17.59,17.59,17.59,9.043458,0
2007-01-31,17.67,17.67,17.67,17.67,9.084588,0
2007-02-01,17.84,17.84,17.84,17.84,9.171991,0
2007-02-02,17.950001,17.950001,17.950001,17.950001,9.228543,0
2007-02-05,17.889999,17.889999,17.889999,17.889999,9.197696,0
2007-02-06,17.959999,17.959999,17.959999,17.959999,9.233683,0
2007-02-07,18.02,18.02,18.02,18.02,9.264532,0
2007-02-08,18,18,18,18,9.254249,0
2007-02-09,17.879999,17.879999,17.879999,17.879999,9.192555,0
2007-02-12,17.780001,17.780001,17.780001,17.780001,9.141144,0
2007-02-13,17.9,17.9,17.9,17.9,9.202837,0
2007-02-14,18.01,18.01,18.01,18.01,9.259391,0
2007-02-15,18.120001,18.120001,18.120001,18.120001,9.315946,0
2007-02-16,18.16,18.16,18.16,18.16,9.336509,0
2007-02-20,18.18,18.18,18.18,18.18,9.346793,0
2007-02-21,18.25,18.25,18.25,18.25,9.382781,0
2007-02-22,18.209999,18.209999,18.209999,18.209999,9.362214,0
2007-02-23,18.129999,18.129999,18.129999,18.129999,9.321085,0
2007-02-26,18.18,18.18,18.18,18.18,9.346793,0
2007-02-27,17.620001,17.620001,17.620001,17.620001,9.058883,0
2007-02-28,17.620001,17.620001,17.620001,17.620001,9.058883,0
2007-03-01,17.620001,17.620001,17.620001,17.620001,9.058883,0
2007-03-02,17.41,17.41,17.41,17.41,8.950917,0
2007-03-05,17.139999,17.139999,17.139999,17.139999,8.8121,0
2007-03-06,17.450001,17.450001,17.450001,17.450001,8.971481,0
2007-03-07,17.43,17.43,17.43,17.43,8.961199,0
2007-03-08,17.629999,17.629999,17.629999,17.629999,9.064023,0
2007-03-09,17.610001,17.610001,17.610001,17.610001,9.053741,0
2007-03-12,17.76,17.76,17.76,17.76,9.130858,0
2007-03-13,17.41,17.41,17.41,17.41,8.950917,0
2007-03-14,17.4,17.4,17.4,17.4,8.945774,0
2007-03-15,17.49,17.49,17.49,17.49,8.992047,0
2007-03-16,17.4,17.4,17.4,17.4,8.945774,0
2007-03-19,17.6,17.6,17.6,17.6,9.0486,0
2007-03-20,17.82,17.82,17.82,17.82,9.161706,0
2007-03-21,18.1,18.1,18.1,18.1,9.305661,0
2007-03-22,18.09,18.09,18.09,18.09,9.30052,0
2007-03-23,18.09,18.09,18.09,18.09,9.30052,0
2007-03-26,18.09,18.09,18.09,18.09,9.30052,0
2007-03-27,18.049999,18.049999,18.049999,18.049999,9.279955,0
2007-03-28,17.9,17.9,17.9,17.9,9.202837,0
2007-03-29,17.91,17.91,17.91,17.91,9.207977,0
2007-03-30,17.969999,17.969999,17.969999,17.969999,9.238825,0
2007-04-02,17.950001,17.950001,17.950001,17.950001,9.228543,0
2007-04-03,18.25,18.25,18.25,18.25,9.382781,0
2007-04-04,18.309999,18.309999,18.309999,18.309999,9.413629,0
2007-04-05,18.34,18.34,18.34,18.34,9.429052,0
2007-04-09,18.440001,18.440001,18.440001,18.440001,9.480464,0
2007-04-10,18.5,18.5,18.5,18.5,9.511312,0
2007-04-11,18.43,18.43,18.43,18.43,9.475323,0
2007-04-12,18.530001,18.530001,18.530001,18.530001,9.526736,0
2007-04-13,18.66,18.66,18.66,18.66,9.593572,0
2007-04-16,19.09,19.09,19.09,19.09,9.814646,0
2007-04-17,19.09,19.09,19.09,19.09,9.814646,0
2007-04-18,19.08,19.08,19.08,19.08,9.809504,0
2007-04-19,18.98,18.98,18.98,18.98,9.758092,0
2007-04-20,19.110001,19.110001,19.110001,19.110001,9.824928,0
2007-04-23,19.15,19.15,19.15,19.15,9.845491,0
2007-04-24,19.15,19.15,19.15,19.15,9.845491,0
2007-04-25,19.309999,19.309999,19.309999,19.309999,9.927753,0
2007-04-26,19.459999,19.459999,19.459999,19.459999,10.004871,0
2007-04-27,19.32,19.32,19.32,19.32,9.932895,0
2007-04-30,19.110001,19.110001,19.110001,19.110001,9.824928,0
2007-05-01,19.17,19.17,19.17,19.17,9.855775,0
2007-05-02,19.42,19.42,19.42,19.42,9.984305,0
2007-05-03,19.52,19.52,19.52,19.52,10.035719,0
2007-05-04,19.66,19.66,19.66,19.66,10.107697,0
2007-05-07,19.709999,19.709999,19.709999,19.709999,10.133402,0
2007-05-08,19.700001,19.700001,19.700001,19.700001,10.128263,0
2007-05-09,19.82,19.82,19.82,19.82,10.189957,0
2007-05-10,19.530001,19.530001,19.530001,19.530001,10.040861,0
2007-05-11,19.700001,19.700001,19.700001,19.700001,10.128263,0
2007-05-14,19.700001,19.700001,19.700001,19.700001,10.128263,0
2007-05-15,19.57,19.57,19.57,19.57,10.061425,0
2007-05-16,19.74,19.74,19.74,19.74,10.148827,0
2007-05-17,19.709999,19.709999,19.709999,19.709999,10.133402,0
2007-05-18,19.76,19.76,19.76,19.76,10.159109,0
2007-05-21,19.860001,19.860001,19.860001,19.860001,10.210522,0
2007-05-22,19.92,19.92,19.92,19.92,10.24137,0
2007-05-23,19.799999,19.799999,19.799999,19.799999,10.179675,0
2007-05-24,19.549999,19.549999,19.549999,19.549999,10.051144,0
2007-05-25,19.67,19.67,19.67,19.67,10.112838,0
2007-05-29,19.75,19.75,19.75,19.75,10.153969,0
2007-05-30,19.969999,19.969999,19.969999,19.969999,10.267076,0
2007-05-31,20.01,20.01,20.01,20.01,10.287642,0
2007-06-01,20.09,20.09,20.09,20.09,10.328772,0
2007-06-04,20.08,20.08,20.08,20.08,10.323628,0
2007-06-05,19.98,19.98,19.98,19.98,10.272219,0
2007-06-06,19.75,19.75,19.75,19.75,10.153969,0
2007-06-07,19.43,19.43,19.43,19.43,9.989448,0
2007-06-08,19.610001,19.610001,19.610001,19.610001,10.08199,0
2007-06-11,19.6,19.6,19.6,19.6,10.076849,0
2007-06-12,19.51,19.51,19.51,19.51,10.030579,0
2007-06-13,19.709999,19.709999,19.709999,19.709999,10.133402,0
2007-06-14,19.780001,19.780001,19.780001,19.780001,10.169392,0
2007-06-15,19.879999,19.879999,19.879999,19.879999,10.220803,0
2007-06-18,19.870001,19.870001,19.870001,19.870001,10.215665,0
2007-06-19,19.92,19.92,19.92,19.92,10.24137,0
2007-06-20,19.75,19.75,19.75,19.75,10.153969,0
2007-06-21,19.9,19.9,19.9,19.9,10.231087,0
2007-06-22,19.690001,19.690001,19.690001,19.690001,10.12312,0
2007-06-25,19.559999,19.559999,19.559999,19.559999,10.056286,0
2007-06-26,19.5,19.5,19.5,19.5,10.025437,0
2007-06-27,19.65,19.65,19.65,19.65,10.102557,0
2007-06-28,19.65,19.65,19.65,19.65,10.102557,0
2007-06-29,19.709999,19.709999,19.709999,19.709999,10.133402,0
2007-07-02,19.91,19.91,19.91,19.91,10.236228,0
2007-07-03,19.91,19.91,19.91,19.91,10.236228,0
2007-07-05,19.99,19.99,19.99,19.99,10.277358,0
2007-07-06,20.07,20.07,20.07,20.07,10.31849,0
2007-07-09,20.110001,20.110001,20.110001,20.110001,10.339054,0
2007-07-10,19.879999,19.879999,19.879999,19.879999,10.220803,0
2007-07-11,19.93,19.93,19.93,19.93,10.246511,0
2007-07-12,20.15,20.15,20.15,20.15,10.35962,0
2007-07-13,20.27,20.27,20.27,20.27,10.421313,0
2007-07-16,20.17,20.17,20.17,20.17,10.3699,0
2007-07-17,20.18,20.18,20.18,20.18,10.375042,0
2007-07-18,20.139999,20.139999,20.139999,20.139999,10.354478,0
